****************************
RPMD umbrella configurations
****************************

Temperature                             = 300 K
Number of beads                         = 1
Time step                               = 0.0001 ps
Number of umbrella integration windows  = 107
Trajectory evolution time               = 5 ps (50000 steps)

xi = 0.4200
N      -16.029166   28.716744    2.458897
H      -97.667362 -456.063925   32.909285
H      320.382215   57.063420  -67.074063

xi = 0.4300
N      -17.200841   27.117550    2.739057
H      -96.365927 -436.659766   30.233830
H      335.360441   59.879033  -68.291252

xi = 0.4400
N      -16.860794   27.843025    0.513557
H      -98.798373 -439.826411   58.621038
H      333.068157   52.965672  -65.756574

xi = 0.4500
N      -17.041874   27.266805   -1.365840
H      -95.719356 -420.154195   60.075382
H      332.505122   41.299660  -41.097929

xi = 0.4600
N      -18.038718   28.593519   -0.545495
H      -94.690212 -440.629447   66.097042
H      345.326479   43.341078  -58.517745

xi = 0.4700
N      -18.886985   27.460083    0.182102
H      -80.838805 -417.327855   65.411694
H      343.261187   35.787850  -67.941878

xi = 0.4800
N      -18.982752   26.171940   -0.157373
H      -66.679074 -413.007233   70.228237
H      330.432075   49.365136  -68.041643

xi = 0.4900
N      -19.077212   26.313299   -0.966252
H      -64.675309 -403.920801   70.327489
H      329.740776   38.314603  -56.902040

xi = 0.5000
N      -18.797109   25.751715   -2.394684
H      -52.314426 -392.625935   79.129535
H      313.488043   34.822592  -45.856953

xi = 0.5100
N      -18.276544   25.121658   -2.498447
H      -60.481608 -377.818767   80.238353
H      314.422317   28.769649  -45.524048

xi = 0.5200
N      -19.287883   26.072932   -2.101293
H      -51.654453 -384.660101   80.043481
H      319.647058   22.393646  -50.847385

xi = 0.5300
N      -18.809953   27.204164   -1.417553
H      -35.960180 -382.921356   81.788911
H      297.312259    4.937178  -62.092930

xi = 0.5400
N      -19.029738   27.701877   -1.446897
H      -39.976589 -389.709517   81.155627
H      304.382440    4.809934  -61.051939

xi = 0.5500
N      -19.366114   26.706721   -0.106299
H      -43.064019 -376.952770   71.597235
H      312.143591    5.880237  -70.120279

xi = 0.5600
N      -19.353920   28.157649   -0.508357
H      -37.047737 -384.462988   70.835454
H      305.957876   -6.769246  -63.772167

xi = 0.5700
N      -19.309855   28.154240   -1.308732
H      -40.029238 -380.766201   77.667453
H      308.327127  -10.418671  -59.483477

xi = 0.5800
